Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID version	Gene name
ENSG00000005020	7	26706681	27034858	ENSG00000005020.8	SKAP2
ENSG00000005022	X	118602363	118605282	ENSG00000005022.5	SLC25A5
ENSG00000005059	4	110481361	110609874	ENSG00000005059.11	CCDC109B
ENSG00000005073	7	27221129	27224842	ENSG00000005073.5	HOXA11
ENSG00000005075	7	102113565	102119354	ENSG00000005075.11	POLR2J
ENSG00000005100	17	5344232	5372380	ENSG00000005100.8	DHX33
ENSG00000005102	17	41717756	41739322	ENSG00000005102.8	MEOX1
ENSG00000005108	7	11409984	11871824	ENSG00000005108.11	THSD7A
ENSG00000005156	17	33307513	33332083	ENSG00000005156.7	LIG3
ENSG00000005175	12	48057070	48099844	ENSG00000005175.5	RPAP3
ENSG00000005187	16	20621565	20808903	ENSG00000005187.7	ACSM3
ENSG00000005194	16	57462081	57481440	ENSG00000005194.10	CIAPIN1
ENSG00000005238	9	35104109	35116338	ENSG00000005238.15	FAM214B
ENSG00000005243	17	46103533	46115392	ENSG00000005243.5	COPZ2
ENSG00000005249	7	106685094	106802256	ENSG00000005249.8	PRKAR2B
ENSG00000005302	X	11776278	11793870	ENSG00000005302.13	MSL3
ENSG00000005339	16	3775055	3930727	ENSG00000005339.8	CREBBP
ENSG00000005379	17	56378592	56406152	ENSG00000005379.11	BZRAP1
ENSG00000005381	17	56347217	56358296	ENSG00000005381.6	MPO
ENSG00000005421	7	94926988	95025673	ENSG00000005421.4	PON1
ENSG00000005436	2	75879126	75938115	ENSG00000005436.9	GCFC2
ENSG00000005448	2	74648805	74652882	ENSG00000005448.12	WDR54
ENSG00000005469	7	86974997	87029111	ENSG00000005469.7	CROT
ENSG00000005471	7	87031013	87109751	ENSG00000005471.11	ABCB4
ENSG00000005483	7	104654626	104754808	ENSG00000005483.15	KMT2E
ENSG00000005486	7	75471920	75518244	ENSG00000005486.12	RHBDD2
ENSG00000005513	16	1031808	1036979	ENSG00000005513.9	SOX8
ENSG00000005700	6	82879700	82957471	ENSG00000005700.10	IBTK
ENSG00000005801	11	3360491	3400448	ENSG00000005801.12	ZNF195
ENSG00000005810	13	77618792	77901185	ENSG00000005810.13	MYCBP2
ENSG00000005812	13	77566740	77601330	ENSG00000005812.6	FBXL3
ENSG00000005844	16	30483979	30534506	ENSG00000005844.13	ITGAL
ENSG00000005882	17	48172101	48189516	ENSG00000005882.7	PDK2
ENSG00000005884	17	48133332	48167845	ENSG00000005884.13	ITGA3
ENSG00000005889	X	24167290	24234372	ENSG00000005889.11	ZFX
ENSG00000005893	X	119561682	119603220	ENSG00000005893.11	LAMP2
ENSG00000005955	17	34900737	34946278	ENSG00000005955.8	GGNBP2
ENSG00000005961	17	42449548	42466873	ENSG00000005961.13	ITGA2B
ENSG00000005981	7	95107756	95169544	ENSG00000005981.8	ASB4
ENSG00000006007	16	19513015	19533467	ENSG00000006007.7	GDE1
ENSG00000006016	19	18683030	18718551	ENSG00000006016.6	CRLF1
ENSG00000006025	17	45884738	45899200	ENSG00000006025.7	OSBPL7
ENSG00000006042	17	31254928	31272124	ENSG00000006042.7	TMEM98
ENSG00000006047	17	7191571	7197934	ENSG00000006047.8	YBX2
ENSG00000006059	17	39502344	39507064	ENSG00000006059.3	KRT33A
ENSG00000006071	11	17414432	17498449	ENSG00000006071.7	ABCC8
ENSG00000006074	17	34391640	34399392	ENSG00000006074.4	CCL18
ENSG00000006075	17	34415602	34417515	ENSG00000006075.11	CCL3
ENSG00000006114	17	35874900	35969544	ENSG00000006114.11	SYNRG
ENSG00000006116	16	24266874	24374122	ENSG00000006116.3	CACNG3
ENSG00000006118	11	60691935	60704631	ENSG00000006118.10	TMEM132A
ENSG00000006125	17	33905065	34053436	ENSG00000006125.12	AP2B1
ENSG00000006128	7	97361220	97369784	ENSG00000006128.7	TAC1
ENSG00000006194	16	3313743	3351401	ENSG00000006194.6	ZNF263
ENSG00000006210	16	57406370	57418960	ENSG00000006210.6	CX3CL1
ENSG00000006282	17	48620419	48633213	ENSG00000006282.15	SPATA20
ENSG00000006283	17	48638429	48704835	ENSG00000006283.13	CACNA1G
ENSG00000006327	16	3068446	3072384	ENSG00000006327.9	TNFRSF12A
ENSG00000006377	7	96634860	96640351	ENSG00000006377.9	DLX6
ENSG00000006432	14	71189243	71276251	ENSG00000006432.11	MAP3K9
ENSG00000006451	7	39663082	39747723	ENSG00000006451.3	RALA
ENSG00000006453	7	97920963	98030380	ENSG00000006453.9	BAIAP2L1
ENSG00000006459	7	139784546	139876835	ENSG00000006459.6	KDM7A
ENSG00000006468	7	13930853	14031050	ENSG00000006468.9	ETV1
ENSG00000006530	7	141250989	141355044	ENSG00000006530.11	AGK
ENSG00000006534	11	67776048	67796744	ENSG00000006534.11	ALDH3B1
ENSG00000006555	1	55245385	55266940	ENSG00000006555.6	TTC22
ENSG00000006576	7	77428122	77586818	ENSG00000006576.12	PHTF2
ENSG00000006606	7	75398851	75419214	ENSG00000006606.4	CCL26
ENSG00000006607	2	242295658	242434256	ENSG00000006607.9	FARP2
ENSG00000006611	11	17515442	17565963	ENSG00000006611.11	USH1C
ENSG00000006625	7	30536237	30591095	ENSG00000006625.13	GGCT
ENSG00000006634	7	87505531	87538856	ENSG00000006634.3	DBF4
ENSG00000006638	19	3594504	3606838	ENSG00000006638.7	TBXA2R
ENSG00000006652	7	112063023	112121072	ENSG00000006652.9	IFRD1
ENSG00000006659	19	40194946	40200084	ENSG00000006659.8	LGALS14
ENSG00000006695	17	13972813	14111994	ENSG00000006695.6	COX10
ENSG00000006704	7	73868120	74016931	ENSG00000006704.6	GTF2IRD1
ENSG00000006712	19	39876492	39881835	ENSG00000006712.10	PAF1
ENSG00000006715	7	38762563	38971994	ENSG00000006715.11	VPS41
ENSG00000006740	17	12692856	12894960	ENSG00000006740.12	ARHGAP44
ENSG00000006744	17	12895708	12921504	ENSG00000006744.14	ELAC2
ENSG00000006747	7	12610203	12693228	ENSG00000006747.10	SCIN
ENSG00000006756	X	2822011	2847392	ENSG00000006756.11	ARSD
ENSG00000006757	X	7866288	7895780	ENSG00000006757.7	PNPLA4
ENSG00000006788	17	10201401	10276447	ENSG00000006788.8	MYH13
ENSG00000006831	12	1797740	1897844	ENSG00000006831.9	ADIPOR2
ENSG00000006837	5	133541305	133706738	ENSG00000006837.7	CDKL3
ENSG00000007001	2	158733214	158992666	ENSG00000007001.8	UPP2
ENSG00000007038	16	2867164	2876305	ENSG00000007038.6	PRSS21
ENSG00000007047	19	45582546	45808541	ENSG00000007047.10	MARK4
ENSG00000007062	4	15964699	16086001	ENSG00000007062.7	PROM1
ENSG00000007080	19	18043825	18054800	ENSG00000007080.6	CCDC124
ENSG00000007129	19	42055886	42093197	ENSG00000007129.13	CEACAM21
ENSG00000007168	17	2496504	2588909	ENSG00000007168.8	PAFAH1B1
ENSG00000007171	17	26083792	26127525	ENSG00000007171.12	NOS2
ENSG00000007174	17	11501748	11873065	ENSG00000007174.13	DNAH9
ENSG00000007202	17	26941458	26972472	ENSG00000007202.10	KIAA0100
ENSG00000007216	17	26800311	26824799	ENSG00000007216.10	SLC13A2
ENSG00000007237	17	9813926	10101868	ENSG00000007237.14	GAS7
ENSG00000007255	19	45666186	45681495	ENSG00000007255.6	TRAPPC6A
ENSG00000007264	19	3777971	3802127	ENSG00000007264.9	MATK
ENSG00000007306	19	42177235	42210895	ENSG00000007306.10	CEACAM7
ENSG00000007312	17	62006100	62009714	ENSG00000007312.8	CD79B
ENSG00000007314	17	62015914	62050278	ENSG00000007314.7	SCN4A
ENSG00000007341	1	113066140	113163447	ENSG00000007341.14	ST7L
ENSG00000007350	X	153524024	153558700	ENSG00000007350.12	TKTL1
ENSG00000007372	11	31806340	31839509	ENSG00000007372.16	PAX6
ENSG00000007376	16	834974	838397	ENSG00000007376.3	RPUSD1
ENSG00000007384	16	108058	126354	ENSG00000007384.11	RHBDF1
ENSG00000007392	16	238968	279462	ENSG00000007392.12	LUC7L
ENSG00000007402	3	50400233	50541675	ENSG00000007402.7	CACNA2D2
ENSG00000007516	16	1383602	1399439	ENSG00000007516.9	BAIAP3
ENSG00000007520	16	1399241	1401912	ENSG00000007520.3	TSR3
ENSG00000007541	16	616995	634136	ENSG00000007541.10	PIGQ
ENSG00000007545	16	1662326	1727909	ENSG00000007545.11	CRAMP1L
ENSG00000007908	1	169691781	169733846	ENSG00000007908.11	SELE
ENSG00000007923	1	6694228	6761984	ENSG00000007923.11	DNAJC11
ENSG00000007933	1	171060018	171086959	ENSG00000007933.8	FMO3
ENSG00000007944	6	16129356	16148479	ENSG00000007944.10	MYLIP
ENSG00000007952	X	100098313	100129334	ENSG00000007952.13	NOX1
ENSG00000007968	1	23832922	23857712	ENSG00000007968.6	E2F2
ENSG00000008018	6	170844205	170862429	ENSG00000008018.8	PSMB1
ENSG00000008056	X	47431303	47479252	ENSG00000008056.8	SYN1
ENSG00000008083	6	15246527	15522252	ENSG00000008083.9	JARID2
ENSG00000008086	X	18443703	18671749	ENSG00000008086.6	CDKL5
ENSG00000008118	1	209757062	209787283	ENSG00000008118.5	CAMK1G
ENSG00000008128	1	1634169	1655766	ENSG00000008128.18	CDK11A
ENSG00000008130	1	1682671	1711896	ENSG00000008130.11	NADK
ENSG00000008196	6	50786436	50815326	ENSG00000008196.8	TFAP2B
ENSG00000008197	6	50681541	50740701	ENSG00000008197.4	TFAP2D
ENSG00000008226	3	38080696	38165516	ENSG00000008226.15	DLEC1
ENSG00000008256	7	6201407	6312275	ENSG00000008256.11	CYTH3
ENSG00000008277	7	87563458	87832204	ENSG00000008277.10	ADAM22
ENSG00000008282	7	105730949	105753022	ENSG00000008282.3	SYPL1
ENSG00000008283	17	61509665	61523739	ENSG00000008283.11	CYB561
ENSG00000008294	17	49039535	49198226	ENSG00000008294.16	SPAG9
ENSG00000008300	3	48673902	48700348	ENSG00000008300.10	CELSR3
ENSG00000008311	7	121715701	121784334	ENSG00000008311.10	AASS
ENSG00000008323	12	6419602	6437672	ENSG00000008323.11	PLEKHG6
ENSG00000008324	3	42623332	42636606	ENSG00000008324.6	SS18L2
ENSG00000008382	19	4343524	4360083	ENSG00000008382.11	MPND
ENSG00000008394	12	16500076	16762193	ENSG00000008394.8	MGST1
ENSG00000008405	12	107385142	107487607	ENSG00000008405.7	CRY1
ENSG00000008438	19	46522411	46526323	ENSG00000008438.4	PGLYRP1
ENSG00000008441	19	13106422	13209610	ENSG00000008441.12	NFIX
ENSG00000008513	8	134467091	134584183	ENSG00000008513.10	ST3GAL1
ENSG00000008516	16	3096682	3110727	ENSG00000008516.12	MMP25
ENSG00000008517	16	3115298	3131908	ENSG00000008517.12	IL32
ENSG00000008710	16	2138711	2185899	ENSG00000008710.13	PKD1
ENSG00000008838	17	38175350	38217468	ENSG00000008838.13	MED24
ENSG00000008853	8	22844930	22877712	ENSG00000008853.12	RHOBTB2
ENSG00000008869	2	37195526	37311485	ENSG00000008869.7	HEATR5B
ENSG00000008952	3	169684423	169716161	ENSG00000008952.12	SEC62
ENSG00000008988	8	56979854	56987069	ENSG00000008988.5	RPS20
ENSG00000009307	1	115259534	115301297	ENSG00000009307.11	CSDE1
ENSG00000009335	7	156931607	157062066	ENSG00000009335.13	UBE3C
ENSG00000009413	6	111620234	111804918	ENSG00000009413.11	REV3L
ENSG00000009694	X	123509753	124097666	ENSG00000009694.9	TENM1
ENSG00000009709	1	18957500	19075360	ENSG00000009709.7	PAX7
ENSG00000009724	1	11086580	11107290	ENSG00000009724.12	MASP2
ENSG00000009765	6	150690028	150727105	ENSG00000009765.10	IYD
ENSG00000009780	1	28052490	28089633	ENSG00000009780.11	FAM76A
ENSG00000009790	1	209929377	209955668	ENSG00000009790.10	TRAF3IP3
ENSG00000009830	14	77741299	77787227	ENSG00000009830.7	POMT2
ENSG00000009844	6	142468367	142545826	ENSG00000009844.11	VTA1
ENSG00000009950	7	73007524	73038873	ENSG00000009950.11	MLXIPL
ENSG00000009954	7	72854728	72936608	ENSG00000009954.6	BAZ1B
ENSG00000010017	6	13621730	13711796	ENSG00000010017.9	RANBP9
ENSG00000010030	6	36322419	36356164	ENSG00000010030.9	ETV7
ENSG00000010072	1	231472850	231490769	ENSG00000010072.11	SPRTN
ENSG00000010165	1	171750788	171783163	ENSG00000010165.15	METTL13
ENSG00000010219	12	4671370	4723325	ENSG00000010219.9	DYRK4
ENSG00000010244	17	30677136	30708905	ENSG00000010244.12	ZNF207
ENSG00000010256	3	48636435	48648409	ENSG00000010256.6	UQCRC1
ENSG00000010270	7	38217824	38270272	ENSG00000010270.9	STARD3NL
ENSG00000010278	12	6308881	6347425	ENSG00000010278.7	CD9
ENSG00000010282	3	42734155	42744319	ENSG00000010282.10	HHATL
ENSG00000010292	12	6602522	6641121	ENSG00000010292.8	NCAPD2
ENSG00000010295	12	6647541	6665239	ENSG00000010295.15	IFFO1
ENSG00000010310	19	46171502	46186982	ENSG00000010310.4	GIPR
ENSG00000010318	3	52444673	52457657	ENSG00000010318.15	PHF7
ENSG00000010319	3	52467069	52479101	ENSG00000010319.2	SEMA3G
ENSG00000010322	3	52489134	52527087	ENSG00000010322.11	NISCH
ENSG00000010327	3	52529354	52558511	ENSG00000010327.6	STAB1
ENSG00000010361	19	50310126	50320633	ENSG00000010361.9	FUZ
ENSG00000010379	12	329789	372039	ENSG00000010379.11	SLC6A13
ENSG00000010404	X	148558521	148615470	ENSG00000010404.13	IDS
ENSG00000010438	9	33750515	33799230	ENSG00000010438.12	PRSS3
ENSG00000010539	16	3272325	3286221	ENSG00000010539.7	ZNF200
ENSG00000010610	12	6896024	6929974	ENSG00000010610.5	CD4
ENSG00000010626	12	6982733	7023407	ENSG00000010626.10	LRRC23
ENSG00000010671	X	100604435	100641183	ENSG00000010671.11	BTK
ENSG00000010704	6	26087509	26098571	ENSG00000010704.14	HFE
ENSG00000010803	1	41492872	41707826	ENSG00000010803.12	SCMH1
ENSG00000010810	6	111981535	112194655	ENSG00000010810.13	FYN
ENSG00000010818	6	143072604	143266338	ENSG00000010818.4	HIVEP2
ENSG00000010932	1	171217638	171255117	ENSG00000010932.11	FMO1
ENSG00000011007	1	24069645	24088549	ENSG00000011007.8	TCEB3
ENSG00000011009	1	24117460	24122029	ENSG00000011009.6	LYPLA2
ENSG00000011021	1	11866207	11903201	ENSG00000011021.17	CLCN6
ENSG00000011028	17	60704762	60770958	ENSG00000011028.9	MRC2
ENSG00000011052	17	49230951	49249105	ENSG00000011052.17	NME2
ENSG00000011083	5	149569520	149602351	ENSG00000011083.4	SLC6A7
ENSG00000011105	12	3186521	3395730	ENSG00000011105.7	TSPAN9
ENSG00000011114	14	93703896	93799438	ENSG00000011114.10	BTBD7
ENSG00000011132	19	3750817	3761697	ENSG00000011132.7	APBA3
ENSG00000011143	17	56282803	56296966	ENSG00000011143.12	MKS1
ENSG00000011198	3	43731605	43775863	ENSG00000011198.3	ABHD5
ENSG00000011201	X	8496915	8700227	ENSG00000011201.6	KAL1
ENSG00000011243	19	15490859	15529952	ENSG00000011243.13	AKAP8L
ENSG00000011258	17	49254786	49337524	ENSG00000011258.11	MBTD1
ENSG00000011260	17	49337889	49375297	ENSG00000011260.9	UTP18
ENSG00000011275	7	5659678	5821370	ENSG00000011275.14	RNF216
ENSG00000011295	17	15902694	15948329	ENSG00000011295.11	TTC19
ENSG00000011304	19	797075	812327	ENSG00000011304.12	PTBP1
ENSG00000011332	19	38701646	38720354	ENSG00000011332.15	DPF1
ENSG00000011347	11	61282785	61348620	ENSG00000011347.5	SYT7
ENSG00000011376	3	45429998	45590913	ENSG00000011376.5	LARS2
ENSG00000011405	11	17099277	17229530	ENSG00000011405.9	PIK3C2A
ENSG00000011422	19	44150247	44174699	ENSG00000011422.7	PLAUR
ENSG00000011426	7	36429415	36493400	ENSG00000011426.6	ANLN
ENSG00000011451	19	15532319	15560762	ENSG00000011451.13	WIZ
ENSG00000011454	9	125703112	125867145	ENSG00000011454.12	RABGAP1
ENSG00000011465	12	91539025	91576900	ENSG00000011465.12	DCN
ENSG00000011478	19	46195741	46207247	ENSG00000011478.7	QPCTL
ENSG00000011485	19	46850251	46896238	ENSG00000011485.10	PPP5C
ENSG00000011523	2	65283500	65314138	ENSG00000011523.9	CEP68
ENSG00000011566	2	39476407	39664453	ENSG00000011566.10	MAP4K3
ENSG00000011590	19	36195429	36207940	ENSG00000011590.9	ZBTB32
ENSG00000011600	19	36395303	36399197	ENSG00000011600.7	TYROBP
ENSG00000011638	16	21169698	21191937	ENSG00000011638.6	TMEM159
ENSG00000011677	X	151334706	151619830	ENSG00000011677.8	GABRA3
ENSG00000012048	17	41196312	41277500	ENSG00000012048.15	BRCA1
ENSG00000012061	19	45910591	45982086	ENSG00000012061.11	ERCC1
ENSG00000012124	19	35810164	35838258	ENSG00000012124.10	CD22
ENSG00000012174	X	21857754	21903542	ENSG00000012174.7	MBTPS2
ENSG00000012211	X	49031151	49042845	ENSG00000012211.8	PRICKLE3
ENSG00000012223	3	46477136	46526724	ENSG00000012223.8	LTF
ENSG00000012232	8	28457986	28613116	ENSG00000012232.4	EXTL3
ENSG00000012504	12	100867486	100958191	ENSG00000012504.9	NR1H4
ENSG00000012660	6	53132196	53213947	ENSG00000012660.9	ELOVL5
ENSG00000012779	10	45869661	45941561	ENSG00000012779.6	ALOX5
ENSG00000012822	12	54104903	54121529	ENSG00000012822.11	CALCOCO1
ENSG00000012963	14	93673401	93695561	ENSG00000012963.9	UBR7
ENSG00000012983	14	50885219	51027844	ENSG00000012983.7	MAP4K5
ENSG00000013016	2	31456880	31492313	ENSG00000013016.10	EHD3
ENSG00000013275	19	40476912	40487348	ENSG00000013275.3	PSMC4
ENSG00000013288	4	6576902	6625089	ENSG00000013288.4	MAN2B2
ENSG00000013293	3	170177372	170303863	ENSG00000013293.5	SLC7A14
ENSG00000013297	3	170136653	170578169	ENSG00000013297.6	CLDN11
ENSG00000013306	17	42396993	42402238	ENSG00000013306.11	SLC25A39
ENSG00000013364	16	29831715	29859355	ENSG00000013364.14	MVP
ENSG00000013374	7	151038785	151075535	ENSG00000013374.11	NUB1
ENSG00000013375	6	83870869	83903655	ENSG00000013375.11	PGM3
ENSG00000013392	6	83903098	83908651	ENSG00000013392.6	RWDD2A
ENSG00000013441	2	201717732	201729422	ENSG00000013441.11	CLK1
ENSG00000013503	12	106751436	106903976	ENSG00000013503.5	POLR3B
ENSG00000013523	14	77253588	77292589	ENSG00000013523.5	ANGEL1
ENSG00000013561	5	141337893	141369856	ENSG00000013561.13	RNF14
ENSG00000013563	X	153629579	153640449	ENSG00000013563.9	DNASE1L1
ENSG00000013573	12	31226779	31257725	ENSG00000013573.12	DDX11
ENSG00000013583	12	13127798	13153207	ENSG00000013583.4	HEBP1
ENSG00000013588	12	13043716	13070871	ENSG00000013588.5	GPRC5A
ENSG00000013619	X	149529689	149682448	ENSG00000013619.9	MAMLD1
ENSG00000013725	11	60739115	60787849	ENSG00000013725.10	CD6
ENSG00000013810	4	1723227	1746898	ENSG00000013810.14	TACC3
ENSG00000014123	6	96969471	97003152	ENSG00000014123.9	UFL1
ENSG00000014138	11	65029233	65073060	ENSG00000014138.4	POLA2
ENSG00000014164	8	144519825	144623623	ENSG00000014164.6	ZC3H3
ENSG00000014216	11	64948037	64979477	ENSG00000014216.11	CAPN1
ENSG00000014257	3	132036211	132087142	ENSG00000014257.11	ACPP
ENSG00000014641	2	63815743	63834331	ENSG00000014641.13	MDH1
ENSG00000014824	4	41992489	42092474	ENSG00000014824.9	SLC30A9
ENSG00000014914	1	149900543	149908791	ENSG00000014914.15	MTMR11
ENSG00000014919	10	101471601	101491857	ENSG00000014919.8	COX15
ENSG00000015133	14	91737667	91884188	ENSG00000015133.14	CCDC88C
ENSG00000015153	12	42550906	42632151	ENSG00000015153.10	YAF2
ENSG00000015171	10	180405	300577	ENSG00000015171.14	ZMYND11
ENSG00000015285	X	48534985	48549818	ENSG00000015285.6	WAS
ENSG00000015413	16	89679716	89704839	ENSG00000015413.5	DPEP1
ENSG00000015475	22	18216906	18257536	ENSG00000015475.14	BID
ENSG00000015479	5	138609441	138667360	ENSG00000015479.13	MATR3
ENSG00000015520	7	44552134	44580914	ENSG00000015520.10	NPC1L1
ENSG00000015532	17	48423453	48440499	ENSG00000015532.5	XYLT2
ENSG00000015592	8	27092840	27115937	ENSG00000015592.12	STMN4
ENSG00000015676	7	44418720	44530479	ENSG00000015676.13	NUDCD3
ENSG00000016082	5	50678921	50690564	ENSG00000016082.10	ISL1
ENSG00000016391	3	53846362	53880417	ENSG00000016391.6	CHDH
ENSG00000016402	6	137321108	137366298	ENSG00000016402.8	IL20RA
ENSG00000016490	1	86934051	86965972	ENSG00000016490.11	CLCA1
ENSG00000016602	1	87012761	87046437	ENSG00000016602.8	CLCA4
ENSG00000016864	3	52728505	52740048	ENSG00000016864.12	GLT8D1
ENSG00000017260	3	130569439	130735556	ENSG00000017260.15	ATP2C1
ENSG00000017373	17	36686251	36762183	ENSG00000017373.11	SRCIN1
ENSG00000017427	12	102789645	102874423	ENSG00000017427.11	IGF1
ENSG00000017483	X	48316920	48328644	ENSG00000017483.10	SLC38A5
ENSG00000017621	X	49019061	49024822	ENSG00000017621.11	MAGIX
ENSG00000017797	18	9475007	9538114	ENSG00000017797.7	RALBP1
ENSG00000018189	4	71569921	71673032	ENSG00000018189.8	RUFY3
ENSG00000018236	12	41086244	41466220	ENSG00000018236.10	CNTN1
ENSG00000018280	2	219246752	219261617	ENSG00000018280.12	SLC11A1
ENSG00000018408	3	149235022	149454501	ENSG00000018408.10	WWTR1
ENSG00000018510	2	178257372	178408564	ENSG00000018510.8	AGPS
ENSG00000018610	X	118672112	118699397	ENSG00000018610.9	CXorf56
ENSG00000018625	1	160085549	160113381	ENSG00000018625.10	ATP1A2
ENSG00000018699	2	32853099	33046118	ENSG00000018699.7	TTC27
ENSG00000018869	19	56887413	56904914	ENSG00000018869.12	ZNF582
ENSG00000019102	11	124617368	124622134	ENSG00000019102.7	VSIG2
ENSG00000019144	11	118477155	118528741	ENSG00000019144.12	PHLDB1
ENSG00000019169	2	119699742	119752236	ENSG00000019169.9	MARCO
ENSG00000019186	20	52769988	52790512	ENSG00000019186.5	CYP24A1
ENSG00000019485	11	45115564	45247734	ENSG00000019485.8	PRDM11
ENSG00000019505	11	45261852	45307870	ENSG00000019505.3	SYT13
ENSG00000019549	8	49830249	49834299	ENSG00000019549.4	SNAI2
ENSG00000019582	5	149781200	149792492	ENSG00000019582.10	CD74
ENSG00000019991	7	81328322	81399754	ENSG00000019991.11	HGF
